"filename", "language", "TypeScript", "JSON", "JSON with Comments", "PostCSS", "Markdown", "JavaScript", "HTML", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\robertsd\source\repos\STLAT-1\README.md", "Markdown", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 14, 74
"c:\Users\robertsd\source\repos\STLAT-1\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"c:\Users\robertsd\source\repos\STLAT-1\firebase.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\robertsd\source\repos\STLAT-1\index.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\robertsd\source\repos\STLAT-1\package-lock.json", "JSON", 0, 4328, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4329
"c:\Users\robertsd\source\repos\STLAT-1\package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\robertsd\source\repos\STLAT-1\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\robertsd\source\repos\STLAT-1\src\App.css", "PostCSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\robertsd\source\repos\STLAT-1\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 5, 39
"c:\Users\robertsd\source\repos\STLAT-1\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\robertsd\source\repos\STLAT-1\src\components\BgShapes\BgShapes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\robertsd\source\repos\STLAT-1\src\components\LangToggle\LangToggle.css", "PostCSS", 0, 0, 0, 30, 0, 0, 0, 0, 0, 2, 7, 39
"c:\Users\robertsd\source\repos\STLAT-1\src\components\LangToggle\LangToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 4, 21
"c:\Users\robertsd\source\repos\STLAT-1\src\components\SettingsMenu\SettingsMenu.css", "PostCSS", 0, 0, 0, 88, 0, 0, 0, 0, 0, 6, 18, 112
"c:\Users\robertsd\source\repos\STLAT-1\src\components\SettingsMenu\SettingsMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 93, 0, 5, 14, 112
